Day,Time,Subject
MONDAY,09:00-10:00,Minor
MONDAY,10:00-11:00,DM
MONDAY,11:00-12:00,DAA
MONDAY,12:00-01:00,Lunch Break
MONDAY,01:00-02:00,TOC
MONDAY,02:00-03:00,CN
MONDAY,03:00-04:00,
MONDAY,04:00-05:00,
TUESDAY,09:00-10:00,Minor
TUESDAY,10:00-11:00,CN
TUESDAY,11:00-12:00,TOC
TUESDAY,12:00-01:00,Lunch Break
TUESDAY,01:00-02:00,DAA
TUESDAY,02:00-03:00,
TUESDAY,03:00-04:00,
TUESDAY,04:00-05:00,
WEDNESDAY,09:00-10:00,Minor
WEDNESDAY,10:00-11:00,
WEDNESDAY,11:00-12:00,
WEDNESDAY,12:00-01:00,DM
WEDNESDAY,01:00-02:00,Lunch Break
WEDNESDAY,02:00-03:00,DAA
WEDNESDAY,03:00-04:00,CN Lab (B1&B3) / DAA Lab (B2&B4)
WEDNESDAY,04:00-05:00,CN Lab (B1&B3) / DAA Lab (B2&B4)
THURSDAY,09:00-10:00,MDM
THURSDAY,10:00-11:00,
THURSDAY,11:00-12:00,DM
THURSDAY,12:00-01:00,Lunch Break
THURSDAY,01:00-02:00,TOC
THURSDAY,02:00-03:00,CN Lab (B2&B4) / DAA Lab (B1&B3)
THURSDAY,03:00-04:00,CN Lab (B2&B4) / DAA Lab (B1&B3)
THURSDAY,04:00-05:00,
FRIDAY,09:00-10:00,MDM
FRIDAY,10:00-11:00,Software Lab (B1&B3) / Software Lab (B2&B4)
FRIDAY,11:00-12:00,Software Lab (B1&B3) / Software Lab (B2&B4)
FRIDAY,12:00-01:00,Lunch Break
FRIDAY,01:00-02:00,CN
FRIDAY,02:00-03:00,Technical Skill
FRIDAY,03:00-04:00,Technical Skill
FRIDAY,04:00-05:00,
SATURDAY,09:00-10:00,MDM
SATURDAY,10:00-11:00,OE
SATURDAY,11:00-12:00,Mentor-Mentee Meeting
SATURDAY,12:00-01:00,HONORS
SATURDAY,01:00-02:00,HONORS
SATURDAY,02:00-03:00,HONORS
SATURDAY,03:00-04:00,HONORS
SATURDAY,04:00-05:00,
